Subject,Word_Type,Trial_2bins,RTc_Outlier,ACC,Error
1,Studied-mixed,1st Half,671.15,0.9111111111111111,0.08888888888888889
1,Studied-mixed,2nd Half,562.6129032258065,0.8857142857142857,0.11428571428571428
1,Unstudied-mixed,1st Half,654.0645161290323,0.8857142857142857,0.11428571428571428
1,Unstudied-mixed,2nd Half,702.7073170731708,0.9111111111111111,0.08888888888888889
1,Unstudied-pure,1st Half,509.54411764705884,0.8625,0.1375
1,Unstudied-pure,2nd Half,558.8,0.875,0.125
2,Studied-mixed,1st Half,913.0232558139535,0.9772727272727273,0.022727272727272728
2,Studied-mixed,2nd Half,1030.5714285714287,0.9722222222222222,0.027777777777777776
2,Unstudied-mixed,1st Half,838.5428571428571,1.0,0.0
2,Unstudied-mixed,2nd Half,806.9767441860465,0.9772727272727273,0.022727272727272728
2,Unstudied-pure,1st Half,794.1038961038961,0.9875,0.0125
2,Unstudied-pure,2nd Half,891.5625,1.0,0.0
3,Studied-mixed,1st Half,743.7777777777778,0.8809523809523809,0.11904761904761904
3,Studied-mixed,2nd Half,677.9166666666666,0.9473684210526315,0.05263157894736842
3,Unstudied-mixed,1st Half,753.4473684210526,1.0,0.0
3,Unstudied-mixed,2nd Half,683.8421052631579,0.9047619047619048,0.09523809523809523
3,Unstudied-pure,1st Half,629.4202898550725,0.925,0.075
3,Unstudied-pure,2nd Half,633.9027777777778,0.925,0.075
4,Studied-mixed,1st Half,562.1764705882352,0.9210526315789473,0.07894736842105263
4,Studied-mixed,2nd Half,550.2571428571429,0.8333333333333334,0.16666666666666666
4,Unstudied-mixed,1st Half,511.6756756756757,0.8809523809523809,0.11904761904761904
4,Unstudied-mixed,2nd Half,574.9444444444445,0.9473684210526315,0.05263157894736842
4,Unstudied-pure,1st Half,547.5972222222222,0.9125,0.0875
4,Unstudied-pure,2nd Half,555.8026315789474,0.95,0.05
5,Studied-mixed,1st Half,609.725,1.0,0.0
5,Studied-mixed,2nd Half,649.1025641025641,1.0,0.0
5,Unstudied-mixed,1st Half,704.1025641025641,1.0,0.0
